Month,Brand,Sales,img
01.01.2020,Audi,13438,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.02.2020,Audi,17396,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.03.2020,Audi,10537,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.04.2020,Audi,6270,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.05.2020,Audi,13935,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.06.2020,Audi,14634,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.07.2020,Audi,16795,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.08.2020,Audi,14928,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.09.2020,Audi,16173,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.10.2020,Audi,21090,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.11.2020,Audi,17327,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.12.2020,Audi,24102,https://upload.wikimedia.org/wikipedia/commons/9/92/Audi-Logo_2016.svg
01.01.2020,BMW,22009,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.02.2020,BMW,25002,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.03.2020,BMW,15141,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.04.2020,BMW,9171,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.05.2020,BMW,20382,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.06.2020,BMW,21403,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.07.2020,BMW,24351,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.08.2020,BMW,21565,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.09.2020,BMW,22523,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.10.2020,BMW,33313,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.11.2020,BMW,27363,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.12.2020,BMW,38074,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.01.2020,Mercedes-Benz,24445,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.02.2020,Mercedes-Benz,31650,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.03.2020,Mercedes-Benz,19170,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.04.2020,Mercedes-Benz,12112,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.05.2020,Mercedes-Benz,27901,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.06.2020,Mercedes-Benz,29492,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.07.2020,Mercedes-Benz,29675,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.08.2020,Mercedes-Benz,26377,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.09.2020,Mercedes-Benz,28576,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.10.2020,Mercedes-Benz,32153,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.11.2020,Mercedes-Benz,26411,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.12.2020,Mercedes-Benz,36746,https://upload.wikimedia.org/wikipedia/commons/2/2c/Mercedes-Benz_free_logo.svg
01.01.2020,Volkswagen,24382,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.02.2020,Volkswagen,31565,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.03.2020,Volkswagen,51168,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.04.2020,Volkswagen,12588,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.05.2020,Volkswagen,27972,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.06.2020,Volkswagen,29373,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.07.2020,Volkswagen,29634,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.08.2020,Volkswagen,26342,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.09.2020,Volkswagen,28538,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.10.2020,Volkswagen,31751,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
01.11.2020,Volkswagen,26082,https://upload.wikimedia.org/wikipedia/commons/6/6d/Volkswagen_logo_2019.svg
