Type,Form,Sub-Category,Brand,Product Name,Price,Mo. Sales,Mo. Revenue,Rank,D. Sales,Date First Available,Reviews,Rating,ASIN,Link,Date Year,ASIN2,len,Mo_Revenue_Mln,Joints,Body,Digestive,Skin,Respiratore,Inner
Dogs,Powder,Probiotics,Purina Fortiflora,purina fortiflora canine nutritional supplement box (3 pack) 30gm/90 count,92.97,3101,288300,2654,70,7/15/2004,1792,48,B00B2T0XSW,https://www.amazon.com/Purina-Fortiflora-Canine-Nutritional-Supplement/dp/B00B2T0XSW/ref=zg_bs_2975397011_65?_encoding=UTF8&psc=1&refRID=R6NPE5T9F60K74NPS2AY,2004,B00B2T0XSW,14,0.2883,,,,,,Inner
Dogs,Chews,Herbal Supplements,100 Paws,cranberry supplement for dogs - cranberry pills (soft chews) for bladder urinary tract uti & kidney health - dog treats food w/hemp oil & d-mannose - pet ut incontinence relief tablets - 120 bites,29.95,107,3205,29093,4,10/24/2019,203,44,B07ST2DBKD,https://www.amazon.com/Cranberry-Supplement-Dogs-D-Mannose-Incontinence/dp/B07ST2DBKD/ref=zg_bs_3024220011_71?_encoding=UTF8&psc=1&refRID=PCD7ZS98Y9T3XDB1RXNN,2019,B07ST2DBKD,22,0.0032,,,,,,Inner
Dogs,Chews,Fish Oil Supplements,Active Chews,active chews omega 3 fish oil for dogs | dog supplement with dha & epa omega 3 6 9 vitamin b & e and biotin | promotes dog itch relief joint support and heart & brain health,19.95,30,599,65899,1,1/6/2021 0:00,0,,B08S3JKNTS,https://www.amazon.com/Active-Chews-Supplement-Vitamin-Promotes/dp/B08S3JKNTS/ref=zg_bs_3024164011_36?_encoding=UTF8&psc=1&refRID=APM4JCST79161Q71H026,2021,B08S3JKNTS,24,0.0006,Joint,Body,,,,
Dogs,Chews,Herbal Supplements,Active Chews,active chews cranberry for dogs | dog uti treatment for incontinence bladder control & kidney support | soft cranberry chews immune system support for canine pets,25.45,314,7991,9832,17,8/26/2019,253,45,B079NPPTBS,https://www.amazon.com/Active-Chews-Cranberry-Dog-Treatment/dp/B079NPPTBS/ref=zg_bs_3024220011_22?_encoding=UTF8&psc=1&refRID=EY1GRVBRKJDM5T6J1GP8,2019,B079NPPTBS,22,0.008,,,,,,Inner
Dogs,Chews,Fish Oil Supplements,Active Chews,active chews omega 3 fish oil for dogs | dog supplement with dha & epa omega 3 6 9 vitamin b & e and biotin | promotes dog itch relief joint support and heart & brain health,25.45,1098,27944,4443,42,9/1/2017 0:00,1630,45,B0759XSQK3,https://www.amazon.com/Active-Chews-Omega-Natural-Supplement/dp/B0759XSQK3/ref=zg_bs_3024219011_40?_encoding=UTF8&psc=1&refRID=ZMB7AY43R30EDD115TDV,2017,B0759XSQK3,24,0.0279,Joint,Body,,,,
Cats&Dogs,Chews,Probiotics,Active Chews,active chews probiotics for dogs | dog probiotics with digestive enzymes prebiotics gut flora & psyllium husk | bowel support and bad breath treatment for dogs |soft chews for pet immune system,25.45,813,20691,5768,32,4/3/2017 0:00,1215,45,B06Y15J2KX,https://www.amazon.com/Active-Chews-Probiotics-Digestive-Relieves/dp/B06Y15J2KX/ref=zg_bs_3024222011_24?_encoding=UTF8&psc=1&refRID=J6X12FAA51FQK6Z3EEX8,2017,B06Y15J2KX,14,0.0207,,,Digestive,,,
Dogs,Oil,Fish Oil Supplements,Alaska Naturals,alaskan salmon oil salmon oil,30.98,377,11679,11249,14,10/21/2010 0:00,729,46,B0048A5GZM,https://www.amazon.com/Alaskan-Naturals-ANSO32-Supplement-32-Ounce/dp/B0048A5GZM/ref=zg_bs_3024219011_80?_encoding=UTF8&psc=1&refRID=WERNG1P97E2ENEXSF2XR,2010,B0048A5GZM,24,0.0117,,,,,,
Dogs,Powder,Fish Oil Supplements,Dinovite,dog supplement - immune + digestive skin + coat support vitamins minerals omega 3 enzymes probiotics. reduces shedding dry skin itching stinking goopy ears bald spots seasonal issues,99.95,2702,270065,2198,83,3/23/2020 0:00,3175,42,B0868RZDM8,https://www.amazon.com/Dog-Supplement-Digestive-Vitamins-Probiotics/dp/B0868RZDM8/ref=zg_bs_3024219011_19?_encoding=UTF8&psc=1&refRID=ZMB7AY43R30EDD115TDV,2020,B0868RZDM8,24,0.2701,,,Digestive,Skin,,
Cats,Powder,Multivitamins,Alpha Paw,alpha paw cat l-lysine powder supplement all natural human grade to help support immune system helps maintain eye and respiratory health (8 ounces/24 grams),22.99,540,12415,9548,18,5/13/2020 0:00,474,45,B088KX3CJN,https://www.amazon.com/Alpha-Paw-Lysine-Cats-Respiratory/dp/B088KX3CJN/ref=zg_bs_3024166011_29?_encoding=UTF8&psc=1&refRID=16Q0DR83JKT4NZZ8AAVY,2020,B088KX3CJN,17,0.0124,,Body,,,,
Dogs,Chews,Antioxidants,Amazing Nutritionals,amazing cranberry for dogs pet antioxidant urinary tract support prevents and eliminates uti in dogs 120 chews,21.97,2147,47170,2188,71,9/14/2016,2065,45,B01JV2KPK2,https://www.amazon.com/dp/B01JV2KPK2,2016,B01JV2KPK2,16,0.0472,,Body,,,,Inner
Dogs,Chews,Antioxidants,Amazing Nutritionals,amazing turmeric for dogs curcumin pet antioxidant eliminates joint pain inflammation 120 chews,21.97,3339,73358,1629,107,1/1/2016,5500,44,B0180N6REG,https://www.amazon.com/Amazing-Turmeric-Antioxidant-Eliminates-Inflammation/dp/B0180N6REG/ref=zg_bs_2975397011_32?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2016,B0180N6REG,16,0.0734,Joint,Body,,,,
Dogs,Chews,Fish Oil Supplements,Amazing Nutritionals,amazing omega 3 for dogs - dog fish oil pet antioxidant for shiny coat joint and brain health - 120 bacon flavor chews,21.97,4863,106840,924,168,2/20/2015 0:00,4317,45,B00TUDZNZK,https://www.amazon.com/Amazing-Nutritionals-Omega-3-Chew-able-Tablet/dp/B00TUDZNZK/ref=zg_bs_2975397011_18?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2015,B00TUDZNZK,24,0.1068,Joint,Body,,Skin,,
Dogs,Chews,Probiotics,Amazing Nutritionals,amazing probiotics for dogs eliminates diarrhea and gas with hip joint pain relief 120 chews,29.97,1117,33476,5190,36,6/7/2014,1627,45,B00KTY7W94,https://www.amazon.com/Amazing-Probiotics-Eliminates-Diarrhea-Relief/dp/B00KTY7W94/ref=zg_bs_3024222011_21?_encoding=UTF8&psc=1&refRID=J6X12FAA51FQK6Z3EEX8,2014,B00KTY7W94,14,0.0335,Joint,,Digestive,,,
Cats,Powder,Probiotics,Purina Fortiflora,purina 3-pack fortiflora feline nutritional supplement for pets,90.54,2348,212588,8723,20,2/5/2009 0:00,970,48,B00B7N5JJG,https://www.amazon.com/Purina-3-Pack-Fortiflora-Nutritional-Supplement/dp/B00B7N5JJG/ref=zg_bs_3024167011_7?_encoding=UTF8&psc=1&refRID=ZM1G5KK3CS4DPR3MBKDE,2009,B00B7N5JJG,14,0.2126,,,,,,Inner
Dogs,Tablets/Softgel,Fish Oil Supplements,Nutramax Laboratories,nutramax welactin for dogs,24.99,7187,179603,496,257,4/6/2007 0:00,4189,47,B001FB6ECQ,https://www.amazon.com/Nutramax-Welactin-Nutritional-Supplement-Liquid/dp/B001FB6ECQ/ref=zg_bs_2975397011_11?_encoding=UTF8&psc=1&refRID=HXB3T5C76A6Q89SE8TD9,2007,B001FB6ECQ,24,0.1796,,,,,,
Dogs,Tablets/Softgel,Multivitamins,Ocu-GLO,ocu-glo vision supplement animal necessity - lutein omega-3 fatty acids grapeseed extract support optimal eye health & vision in dogs - antioxidants for canine ocular health,78.75,1873,147499,2478,62,4/9/2013,1852,45,B00CMORHV2,https://www.amazon.com/dp/B00CMORHV2,2013,B00CMORHV2,17,0.1475,,Body,,,,
