form,function,month,revenue
Gummy,Beauty,may,5.773642
Softgels,Beauty,may,2.852513
Tablets,Beauty,may,3.5552831436363634
Capsules,Beauty,may,13.097246
Powder,Beauty,may,6.361399
Other,Beauty,may,0.17799866
Gummy,Immune,may,12.766663703333332
Softgels,Immune,may,5.903662550000001
Tablets,Immune,may,5.569754
Capsules,Immune,may,26.72629509676768
Powder,Immune,may,5.307528939999999
Other,Immune,may,0.197393
Gummy,Digest,may,6.5691061699999995
Softgels,Digest,may,1.472607
Tablets,Digest,may,4.242009400000001
Capsules,Digest,may,35.251904200000006
Powder,Digest,may,8.55518485
Other,Digest,may,0.12768
Gummy,Joints,may,2.93529538
Softgels,Joints,may,6.7916408100000005
Tablets,Joints,may,9.033190705
Capsules,Joints,may,23.586020478499996
Powder,Joints,may,7.73704
Other,Joints,may,0.18984
Gummy,Brain,may,1.6324263799999998
Softgels,Brain,may,8.3303007
Tablets,Brain,may,2.358145
Capsules,Brain,may,16.58513773
Powder,Brain,may,5.0719934
Other,Brain,may,0.229698
Gummy,Stress_Sleep,may,3.4173066000000003
Softgels,Stress_Sleep,may,0.95480116
Tablets,Stress_Sleep,may,3.857197773
Capsules,Stress_Sleep,may,13.44848343
Powder,Stress_Sleep,may,5.07362353
Other,Stress_Sleep,may,0.144864
Gummy,Energy,may,4.811078703333333
Softgels,Energy,may,3.14751585
Tablets,Energy,may,5.735996468000001
Capsules,Energy,may,24.291662940454543
Powder,Energy,may,13.37554254
Other,Energy,may,0.310879156
Gummy,Body,may,4.89127655
Softgels,Body,may,21.122052399999998
Tablets,Body,may,8.684369
Capsules,Body,may,52.58192209222222
Powder,Body,may,11.981766201071428
Other,Body,may,0.828455156
Gummy,Weight_Mngm,may,5.039163103333333
Softgels,Weight_Mngm,may,1.701865
Tablets,Weight_Mngm,may,3.3429863093636363
Capsules,Weight_Mngm,may,22.68541674
Powder,Weight_Mngm,may,5.768297582500001
Other,Weight_Mngm,may,0.44608115600000003
Gummy,Fitness,may,0.720192
Softgels,Fitness,may,1.62904002
Tablets,Fitness,may,2.6003040674999998
Capsules,Fitness,may,8.7518358
Powder,Fitness,may,13.491865129999999
Other,Fitness,may,0.135498
Gummy,Beauty,jun,5.295595
Softgels,Beauty,jun,3.07357
Tablets,Beauty,jun,3.316557
Capsules,Beauty,jun,15.295147015000001
Powder,Beauty,jun,6.804704
Other,Beauty,jun,0.192677
Gummy,Immune,jun,12.536713
Softgels,Immune,jun,6.446629
Tablets,Immune,jun,6.376383735714286
Capsules,Immune,jun,27.071577442857144
Powder,Immune,jun,5.385032
Other,Immune,jun,0.147936
Gummy,Digest,jun,6.9695955
Softgels,Digest,jun,1.670143
Tablets,Digest,jun,4.532422683888889
Capsules,Digest,jun,37.03850052285714
Powder,Digest,jun,8.176017968
Other,Digest,jun,0.33299331
Gummy,Joints,jun,3.38843175
Softgels,Joints,jun,7.431235
Tablets,Joints,jun,9.60149107
Capsules,Joints,jun,25.659109422857142
Powder,Joints,jun,8.3435508
Other,Joints,jun,0.262557
Gummy,Brain,jun,1.85451175
Softgels,Brain,jun,8.48199476
Tablets,Brain,jun,2.09566
Capsules,Brain,jun,16.647208269285716
Powder,Brain,jun,5.265862
Other,Brain,jun,0.161587
Gummy,Stress_Sleep,jun,3.4441778066666666
Softgels,Stress_Sleep,jun,0.8886725999999999
Tablets,Stress_Sleep,jun,3.630110455
Capsules,Stress_Sleep,jun,14.33484643611111
Powder,Stress_Sleep,jun,5.110649182857143
Other,Stress_Sleep,jun,0.115833
Gummy,Energy,jun,4.075379806666667
Softgels,Energy,jun,3.709167
Tablets,Energy,jun,5.962619
Capsules,Energy,jun,26.76165282486111
Powder,Energy,jun,16.603378572
Other,Energy,jun,0.224929
Gummy,Body,jun,5.464538
Softgels,Body,jun,22.536641940000003
Tablets,Body,jun,8.363589190714286
Capsules,Body,jun,55.15160188934344
Powder,Body,jun,13.855076307500001
Other,Body,jun,0.385015
Gummy,Weight_Mngm,jun,5.13454625
Softgels,Weight_Mngm,jun,1.968274
Tablets,Weight_Mngm,jun,3.2660819589999996
Capsules,Weight_Mngm,jun,23.182814503
Powder,Weight_Mngm,jun,6.1437284875
Other,Weight_Mngm,jun,0.5611278300000001
Gummy,Fitness,jun,0.735226
Softgels,Fitness,jun,1.812559
Tablets,Fitness,jun,2.726187
Capsules,Fitness,jun,9.46470131
Powder,Fitness,jun,24.349166758785714
Other,Fitness,jun,0.14343222
Gummy,Beauty,jul,6.34620515
Softgels,Beauty,jul,2.961514762222222
Tablets,Beauty,jul,4.79073713
Capsules,Beauty,jul,15.983709049090908
Powder,Beauty,jul,7.621654
Other,Beauty,jul,0.195834
Gummy,Immune,jul,16.622704237500002
Softgels,Immune,jul,9.20208701
Tablets,Immune,jul,8.764552266666666
Capsules,Immune,jul,35.85869400766667
Powder,Immune,jul,5.814832982727272
Other,Immune,jul,0.155211
Gummy,Digest,jul,7.506257
Softgels,Digest,jul,1.127264
Tablets,Digest,jul,5.66008999
Capsules,Digest,jul,46.50640638111111
Powder,Digest,jul,9.662398032727273
Other,Digest,jul,0.231459
Gummy,Joints,jul,4.303815
Softgels,Joints,jul,9.526797
Tablets,Joints,jul,10.97358515
Capsules,Joints,jul,28.435469316
Powder,Joints,jul,7.631226
Other,Joints,jul,0.328826
Gummy,Brain,jul,1.364695
Softgels,Brain,jul,10.70016611
Tablets,Brain,jul,1.909605
Capsules,Brain,jul,20.772718123
Powder,Brain,jul,4.391253982727273
Other,Brain,jul,0.15628151
Gummy,Stress_Sleep,jul,4.311595087500001
Softgels,Stress_Sleep,jul,0.6377440999999999
Tablets,Stress_Sleep,jul,3.835306
Capsules,Stress_Sleep,jul,16.539750475
Powder,Stress_Sleep,jul,4.20678
Other,Stress_Sleep,jul,0.150047
Gummy,Energy,jul,4.3469650875
Softgels,Energy,jul,4.328496762222222
Tablets,Energy,jul,7.809143
Capsules,Energy,jul,28.716822369285715
Powder,Energy,jul,15.08233356857143
Other,Energy,jul,0.343398
Gummy,Body,jul,6.529835
Softgels,Body,jul,27.421836299999995
Tablets,Body,jul,9.727882266666665
Capsules,Body,jul,62.867536085285714
Powder,Body,jul,13.440078725714287
Other,Body,jul,0.462138
Gummy,Weight_Mngm,jul,5.362811
Softgels,Weight_Mngm,jul,2.349632762222222
Tablets,Weight_Mngm,jul,3.663114
Capsules,Weight_Mngm,jul,25.531251950020202
Powder,Weight_Mngm,jul,5.233421375
Other,Weight_Mngm,jul,0.670478
Gummy,Fitness,jul,1.304357
Softgels,Fitness,jul,2.860921
Tablets,Fitness,jul,2.773282
Capsules,Fitness,jul,9.555307
Powder,Fitness,jul,16.2236621412987
Other,Fitness,jul,0.1732362
Gummy,Beauty,aug,6.169121189538241
Softgels,Beauty,aug,3.3861904933333333
Tablets,Beauty,aug,5.239032
Capsules,Beauty,aug,15.165536
Powder,Beauty,aug,6.979626
Other,Beauty,aug,0.127414422
Gummy,Immune,aug,19.09611352873016
Softgels,Immune,aug,10.770698293333332
Tablets,Immune,aug,10.033777613888889
Capsules,Immune,aug,40.04620734010101
Powder,Immune,aug,6.62784688
Other,Immune,aug,0.278107
Gummy,Digest,aug,7.430390964285714
Softgels,Digest,aug,1.215375
Tablets,Digest,aug,5.475588
Capsules,Digest,aug,45.04707433020203
Powder,Digest,aug,9.757039272290765
Other,Digest,aug,0.16338
Gummy,Joints,aug,4.756567964285715
Softgels,Joints,aug,10.048609445999999
Tablets,Joints,aug,10.787804342142858
Capsules,Joints,aug,30.01061879
Powder,Joints,aug,7.171821
Other,Joints,aug,0.280856
Gummy,Brain,aug,1.553811
Softgels,Brain,aug,10.820771083999999
Tablets,Brain,aug,2.084536
Capsules,Brain,aug,19.866846316666667
Powder,Brain,aug,4.208441
Other,Brain,aug,0.23633168
Gummy,Stress_Sleep,aug,4.49281
Softgels,Stress_Sleep,aug,0.803791
Tablets,Stress_Sleep,aug,3.4572017001269844
Capsules,Stress_Sleep,aug,15.652729033333332
Powder,Stress_Sleep,aug,4.236715
Other,Stress_Sleep,aug,0.17387867999999998
Gummy,Energy,aug,5.198989738888889
Softgels,Energy,aug,4.581206
Tablets,Energy,aug,7.2543007910714286
Capsules,Energy,aug,26.50011646
Powder,Energy,aug,15.595952696666666
Other,Energy,aug,0.38771168
Gummy,Body,aug,7.204280773174603
Softgels,Body,aug,27.967680505227275
Tablets,Body,aug,10.20834409449567
Capsules,Body,aug,63.815869384577205
Powder,Body,aug,14.040658535
Other,Body,aug,0.5338107128571428
Gummy,Weight_Mngm,aug,5.04298355
Softgels,Weight_Mngm,aug,2.206374
Tablets,Weight_Mngm,aug,3.7261184193888894
Capsules,Weight_Mngm,aug,24.658064517959595
Powder,Weight_Mngm,aug,5.013912005
Other,Weight_Mngm,aug,0.504025
Gummy,Fitness,aug,1.546141
Softgels,Fitness,aug,2.995022
Tablets,Fitness,aug,2.724547909090909
Capsules,Fitness,aug,9.702833733333334
Powder,Fitness,aug,15.521800393333335
Other,Fitness,aug,0.254116
Gummy,Beauty,sep,4.811268
Softgels,Beauty,sep,3.458271
Tablets,Beauty,sep,3.603236
Capsules,Beauty,sep,15.690502
Powder,Beauty,sep,12.098664
Other,Beauty,sep,0.126014
Gummy,Immune,sep,15.587386
